Title: MALT90 Kinematic Distances to Dense Molecular Clumps 
Authors: Whitaker J.S., Jackson J.M., Rathborne J.M., Foster J.B., 
         Contreras Y., Sanhueza P., Stephens I.W., Longmore S.N. 
Table: Results of the kinematic distance analysis
http://iopscience.iop.org/1538-3881/154/4/140/suppdata/ajaa86adt1_mrt.txt
================================================================================
Byte-by-byte Description of file: ajaa86adt1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label Explanations
--------------------------------------------------------------------------------
   1- 20 A20    ---     Name  Clump name
  21- 29 F9.3   deg     GLON  Galactic longitude
  30- 37 F8.3   deg     GLAT  Galactic latitude
  38- 46 F9.2   km/s    Rvel  Radial velocity
  47- 55 F9.2   km/s    Tvel  Tangent velocity
  56- 61 F6.2   kpc     Rgal  Galactocentric radius
  62- 67 F6.2   kpc     Kdt   Kinematic distance to tangent point
  68- 73 F6.2   kpc     Kdn   Near kinematic distance
  74- 79 F6.2   kpc   b_Kdn   Lower boundary range to Kdn
  80- 85 F6.2   kpc   B_Kdn   Upper boundary range to Kdn 
  86- 91 F6.2   kpc     Kdf   Far kinematic distance
  92- 97 F6.2   kpc   b_Kdf   Lower boundary range to Kdf
  98-103 F6.2   kpc   B_Kdf   Upper boundary range to Kdf
 104-109 F6.2   ---     PHISA Probability of a HISA absoprtion dip
 110-118 F9.2   km/s    Mabsv Minimum velocity of significant absorption
 119-122 I4     ---     Dcode Analysis process flag (1)
 123-127 A5     ---     Dflag Kinematic distance ambiguity resolution flag (1)
 128-131 I4     ---     Dqual Integer flag for near/far ambiguity resolution (2)
 132-138 F7.2   kpc     Dbest Best guess for kinematic distance
 139-145 F7.2   kpc   b_Dbest Lower boundary range to Dbest
 146-152 F7.2   kpc   B_Dbest Upper boundary range to Dbest
--------------------------------------------------------------------------------
Note (1): Dcode and Dflag = explanation.
    -1 and IM = off-sign velocity that is impossible in this rotation model.
     1 and FO = velocity is off-sign but possible in rotation model; 
                kd beyond solar circle.
     2 and BT = velocity is beyond tangent velocity; kdn=kdf=kdt
    11 and N  = low continuum; highish HISA probability, near favored.
    12 and F  = low continuum; lowish HISA probability, far favored.
    21 and N  = significant continuum; absorption near source velocity, 
                near favored; single-velocity group.
    22 and N  = significant continuum; absorption near source velocity,
                near favored; multiple-velocity group, possible confusion.
    23 and F  = significant continuum; absorption near tangent velocity, 
                far favored; single-velocity group.
    24 and F  = significant continuum; absorption near tangent velocity, 
                far favored; multiple-velocity group, possible confusion.
Note (2): From 0 to 9 where a larger value indicating higher confidence in the 
          reliability of the near/far distance resolution. We consider the 
          ambiguity resolution for sources with dqual less than 4 to be dubious.
--------------------------------------------------------------------------------    
Name GLON      GLAT Rvel      Tvel Rgal Kdt  Kdn  b_Kdn  B_Kdn    Kdf  b_Kdf  B_Kdf  PHISA Mabsv Dcode Dflag Dqual Dbest b_Dbest  B_Dbest 
AGAL302.159+00.061_S  302.159   0.061   -35.16   -32.80  7.12  4.52  4.52  3.00  4.52  4.52  4.52  6.05  0.25     9.89   2   BT   7   4.52   4.52   6.05
AGAL302.391+00.281_S  302.391   0.281   -43.88   -33.26  6.84  4.55  4.55  4.55  4.55  4.55  4.55  4.55  0.52   -51.12   2   BT   7   4.55   4.55   4.55
AGAL302.439-00.119_S  302.439  -0.119   -35.24   -33.36  7.11  4.56  4.56  2.96  4.56  4.56  4.56  6.16  0.62   -25.56   2   BT   7   4.56   4.56   6.16
AGAL302.449-00.096_S  302.449  -0.096   -34.93   -33.38  7.12  4.56  4.56  2.91  4.56  4.56  4.56  6.21  0.51   -26.38   2   BT   7   4.56   4.56   6.21
AGAL302.454-00.741_S  302.454  -0.741    35.56   -33.39 10.57  4.56 -9.99  0.00 -9.99 12.32 11.65 13.03  0.74   -30.50   1   FO   9  12.32  11.65  13.03
AGAL302.486-00.031_S  302.486  -0.031   -36.15   -33.45  7.08  4.57  4.57  3.10  4.57  4.57  4.57  6.03  0.00   -33.80   2   BT   7   4.57   4.57   6.03
AGAL302.491-00.766_S  302.491  -0.766    31.41   -33.46 10.28  4.57 -9.99  0.00 -9.99 11.93 11.28 12.61  0.71   -39.57   1   FO   9  11.93  11.28  12.61
AGAL303.118-00.972_S  303.118  -0.972    25.89   -34.73  9.93  4.64 -9.99  0.00 -9.99 11.56 10.93 12.22  0.94   -46.99   1   FO   9  11.56  10.93  12.22
AGAL303.268+01.247_S  303.268   1.247   -30.62   -35.03  7.26  4.66  3.19  2.24  4.66  6.13  4.66  7.09  0.57   199.00  11    N   4   3.19   2.24   4.66
AGAL303.273+01.225_S  303.273   1.225   -30.67   -35.04  7.26  4.66  3.20  2.25  4.66  6.12  4.66  7.08  0.84   -50.29  11    N   6   3.20   2.25   4.66
AGAL303.484-00.461_S  303.484  -0.461    24.74   -35.47  9.86  4.69 -9.99  0.00 -9.99 11.54 10.91 12.20  0.93    24.73   1   FO   9  11.54  10.91  12.20
AGAL303.536-00.597_S  303.536  -0.597    19.74   -35.58  9.55  4.70 -9.99  0.00 -9.99 11.10 10.49 11.74  0.32     9.89   1   FO   9  11.10  10.49  11.74
AGAL303.931-00.687_S  303.931  -0.687    30.25   -36.39 10.23  4.74 -9.99  0.00 -9.99 12.16 11.51 12.84  0.93   -44.52   1   FO   9  12.16  11.51  12.84
AGAL303.999+00.279_S  303.999   0.279    31.97   -36.53 10.35  4.75 -9.99  0.00 -9.99 12.34 11.68 13.03  0.47   -42.05   1   FO   9  12.34  11.68  13.03
AGAL304.021+00.292_S  304.021   0.292   -42.96   -36.58  6.84  4.76  4.76  4.22  4.76  4.76  4.76  5.29  0.77   -42.05   2   BT   7   4.76   4.76   5.29
AGAL304.078+00.404_S  304.078   0.404   -42.42   -36.70  6.86  4.76  4.76  3.99  4.76  4.76  4.76  5.54  0.79    25.56   2   BT   7   4.76   4.76   5.54
AGAL304.089+00.421_S  304.089   0.421   -41.70   -36.72  6.88  4.76  4.76  3.79  4.76  4.76  4.76  5.74  0.76   199.00   2   BT   7   4.76   4.76   5.74
AGAL304.246-00.406_S  304.246  -0.406   -22.59   -37.05  7.54  4.78  2.06  1.37  2.87  7.51  6.69  8.20  0.34   -44.52  12    F   3   7.51   6.69   8.20
AGAL304.368-00.336_S  304.368  -0.336    33.95   -37.30 10.51  4.80 -9.99  0.00 -9.99 12.62 11.95 13.32  0.54   -40.40   1   FO   9  12.62  11.95  13.32
AGAL304.468-00.006_S  304.468  -0.006   -19.52   -37.51  7.65  4.81  1.73  1.08  2.47  7.89  7.15  8.54  0.89   -52.76  23    F   4   7.89   7.15   8.54
AGAL304.556+00.327_S  304.556   0.327   -42.44   -37.70  6.85  4.82  4.82  3.79  4.82  4.82  4.82  5.85  0.66   -32.98   2   BT   7   4.82   4.82   5.85
AGAL304.586+00.582_S  304.586   0.582   -22.52   -37.76  7.54  4.82  2.03  1.35  2.82  7.62  6.83  8.30  0.59   -49.47  11    N   4   2.03   1.35   2.82
AGAL304.664-00.966_S  304.664  -0.966    26.39   -37.93  9.99  4.83 -9.99  0.00 -9.99 11.97 11.33 12.63  0.36    -4.12   1   FO   9  11.97  11.33  12.63
AGAL304.672+00.257_S  304.672   0.257   -43.41   -37.94  6.82  4.84  4.84  3.99  4.84  4.84  4.84  5.68  0.00   199.00   2   BT   7   4.84   4.84   5.68
AGAL304.708+01.314_S  304.708   1.314   -26.81   -38.02  7.38  4.84  2.48  1.75  3.43  7.20  6.25  7.93  0.45   199.00  12    F   2   7.20   6.25   7.93
AGAL304.712+00.601_S  304.712   0.601   -26.70   -38.03  7.38  4.84  2.47  1.74  3.41  7.21  6.27  7.94  0.78   -27.21  11    N   5   2.47   1.74   3.41
AGAL304.791-00.872_S  304.791  -0.872   -27.43   -38.20  7.35  4.85  2.54  1.81  3.52  7.16  6.18  7.89  0.10   -10.72  12    F   4   7.16   6.18   7.89
